size,trial,adds,muls,time_seconds
401,2,81183,0,0.002793667
401,3,81183,0,0.002895917
401,4,81183,0,0.002650291
401,5,81183,0,0.003048917
401,6,81183,0,0.0087495
401,7,81183,0,0.074392291
401,8,81183,0,0.00299975
401,9,81183,0,0.0036775
401,10,81183,0,0.002896459
411,1,85414,0,0.003899875
411,2,85414,0,0.0028945
411,3,85414,0,0.003231
411,4,85414,0,0.003531333
411,5,85414,0,0.002969125
411,6,85414,0,0.003720916
411,7,85414,0,0.0028555
411,8,85414,0,0.003503416
411,9,85414,0,0.002880958
411,10,85414,0,0.002990541
421,1,89610,0,0.002965542
421,2,89610,0,0.003123083
421,3,89610,0,0.003556583
421,4,89610,0,0.003436416
421,5,89610,0,0.003315958
421,6,89610,0,0.003276833
421,7,89610,0,0.003116417
421,8,89610,0,0.00327825
421,9,89610,0,0.003208917
421,10,89610,0,0.00299925
431,1,93749,0,0.00329225
431,2,93749,0,0.066091417
431,3,93749,0,0.003110959
431,4,93749,0,0.003790458
431,5,93749,0,0.003089917
431,6,93749,0,0.003886833
431,7,93749,0,0.004882917
431,8,93749,0,0.0039645
431,9,93749,0,0.003867583
431,10,93749,0,0.003110625
441,1,98121,0,0.003583125
441,2,98121,0,0.003569375
441,3,98121,0,0.004288834
441,4,98121,0,0.003539708
441,5,98121,0,0.004287833
441,6,98121,0,0.003562792
441,7,98121,0,0.00349625
441,8,98121,0,0.004076708
441,9,98121,0,0.003814292
441,10,98121,0,0.003733958
451,1,102507,0,0.003691083
451,2,102507,0,0.003901791
451,3,102507,0,0.003728083
451,4,102507,0,0.077142791
451,5,102507,0,0.003588166
451,6,102507,0,0.004416416
451,7,102507,0,0.00380425
451,8,102507,0,0.004350417
451,9,102507,0,0.003418917
451,10,102507,0,0.004134709
461,1,107243,0,0.004569667
461,2,107243,0,0.004506291
461,3,107243,0,0.00407
461,4,107243,0,0.003643709
461,5,107243,0,0.004489833
461,6,107243,0,0.00370975
461,7,107243,0,0.004233958
461,8,107243,0,0.003828708
461,9,107243,0,0.0036795
461,10,107243,0,0.004074084
471,1,111873,0,0.003967291
471,2,111873,0,0.004299041
471,3,111873,0,0.004082667
471,4,111873,0,0.072348291
471,5,111873,0,0.003697666
471,6,111873,0,0.005377125
471,7,111873,0,0.004393166
471,8,111873,0,0.005174542
471,9,111873,0,0.004126583
471,10,111873,0,0.00437875
481,1,116344,0,0.005524625
481,2,116344,0,0.004343792
481,3,116344,0,0.004117334
481,4,116344,0,0.005193708
481,5,116344,0,0.004208834
481,6,116344,0,0.004989875
